cell,0,60,120,180,240,300,360,420,480,540,600,660,720,780,840,900,960,1020,1080,1140,1200,1260,1320,1380,1440,1500,1560,1620,1680,1740,1800,1860,1920,1980,2040,2100,2160,2220,2280,2340,2400,2460,2520,2580,2640,2700,2760,2820,2880,2940,3000,3060,3120,3180,3240,3300,3360,3420,3480,3540,3600,3660,3720,3780,3840,3900,3960,4020,4080,4140,4200,4260,4320,4380
1,1.0024993546409222,1.0016253244805173,1.0035367504107557,1.0059104876940312,1.0098664659651706,1.0123847778503434,1.014654320873915,1.0147564477135265,1.0145920052540263,1.0111662430913437,1.0070050600478073,1.0038652991934849,1.0009096748418291,0.9994110080532431,0.997262707878634,0.9952097388362584,0.9938357465816103,0.9932433913693189,0.9930965708946944,0.992833955118579,0.9917950547069125,0.9916556788534946,0.9921581618436908,0.992970451809931,0.9939995216276261,0.9940188332154485,0.9946527948077024,0.9985637100431236,1.0019213385963388,1.0079094983147563,1.0115838351986346,1.0141371726852157,1.0174010372980906,1.016886207259913,1.0138271720182002,1.006823973798462,1.002937940431242,0.9993315330421588,0.9964916892878195,0.9944855202203927,0.9934821280146757,0.9932391570028336,0.9913263470062063,0.9908793263632707,0.9916532691413121,0.9910684460049121,0.9914894089272744,0.9928827973117926,0.9931988473034594,0.9938909130558908,0.9959344522282111,0.9969390625602251,0.9976979988961098,0.9989189555443329,1.004163406612775,1.0077694554564665,1.0114040859762607,1.0119463670668052,1.0112309100273824,1.0106360208674674,1.0050593008750983,1.0017475722791254,0.9984017619591377,0.9961650136680653,0.9958937148346065,0.9933711985849911,0.993610165611376,0.9929326782574921,0.9912840581087744,0.9913715040059251,0.9931775702701229,0.9927701462592481,0.9918686780187084,0.9913788260505061
2,1.0076703330720616,1.006338876617985,1.006214414391894,1.0061544683658001,1.0050451729452574,1.0037867088368875,1.002112773735111,1.0014854989152495,1.0010503851422847,0.9997281541688079,0.9992588465807299,0.9978046170146685,0.9972257287154641,0.9965483322288811,0.995903004763157,0.9956642727123611,0.9964988377544562,0.9979426428191536,0.9976408007767681,0.9965478437712953,0.9963917007056482,0.9958271433741782,0.9964183447157658,0.9975623284839814,0.9978685127845652,0.9990019954511022,1.0003682564095582,1.0021361302050604,1.0042406938106987,1.0040336832980103,1.003871191651,1.0030560713615766,1.0032644892244382,1.00328232602521,1.003029368126932,1.0021541742352913,1.000855776035193,1.0008985673217454,1.0000663079471461,0.99958705817338,0.9991861605816004,0.9977477020997028,0.995788607505509,0.9951552582235892,0.9952793429815631,0.9951373715608587,0.9955914440589341,0.9971766178234847,0.9979600980822935,0.9982169528275997,1.002617748045445,1.0038028311377662,1.0046389597715253,1.0034399642494738,1.0032607541346001,1.0041369655898869,1.0034735928475436,1.0030813867951631,1.0035227948042336,1.0041971690496656,1.001722609679571,1.0006525379171278,1.000682692627572,0.9984811358674929,0.9977006359500538,0.9963991186139546,0.9960433106499953,0.9964388090218561,0.9953854562036851,0.9956540449956388,0.9982783871042248,0.9978323831363252,0.9978356185962524,0.9989457047970399
3,1.0085766940325294,1.0082553642036616,1.0118817847969444,1.01601471727258,1.0184829687024277,1.021551746017005,1.020927092498673,1.0194850059973146,1.0130788397859594,1.0080307364252092,1.00484986676919,1.00330276602742,0.9986399518964619,0.9971549983207275,0.9953132661058282,0.994738993182591,0.9942077846142596,0.9943963741340801,0.9931220923528865,0.9927191463485185,0.9925344679431526,0.9927544901011542,0.9936560298421788,0.99492316030096,0.9973310058801819,0.9986779626496645,1.0005793096774924,1.004208787893552,1.0099036606237108,1.0123450578473006,1.0122346359816956,1.0105940294548073,1.0067932336000092,1.0045221005712792,1.0005773177796988,0.9983364758339384,0.9970898351127004,0.996098688340945,0.9943912520404865,0.9945126748218969,0.9932869658345125,0.9925480054730664,0.993181905929391,0.9921110708706798,0.9917554365631472,0.9924191267234818,0.9926558703836477,0.9940821883261953,0.9939113738660208,0.9939787836224221,0.9978927633865491,1.0007794981857263,1.0023688104840671,1.0032915136255958,1.0028085478421345,1.0038180933984633,1.004055835213805,1.002768320352019,1.0009822075230965,1.0004909018393582,0.9973717899379705,0.995726817627587,0.9946439658293146,0.9932994604041878,0.9935708422722345,0.9933278001195398,0.9934769341976619,0.992870605271419,0.9922055305621658,0.9930967692281825,0.9964983545877015,0.9968582115042146,0.9952786195984311,0.995792713634936
4,1.0110200270588188,1.0086677998023996,1.0080640438547608,1.0077700372705156,1.0075798872576,1.0094778568857978,1.0090687276692505,1.0085983270485899,1.0064204547107836,1.0046562573746503,1.0018652834972013,1.0006188775700766,0.9994451565722392,0.9975431463214084,0.9960980545397503,0.9959970395754956,0.9963743025944307,0.9967655461808241,0.9962997773354415,0.9954370519483297,0.9960732218222891,0.997222334604994,0.9982457649713425,0.9995325110278267,1.0000656811493813,1.001387840061145,1.0038717522502703,1.007008704177042,1.0089050710373977,1.0099689462089414,1.0087907997792307,1.0073143743127408,1.0050452149985931,1.0028735715151644,1.000527923566443,0.9993509409861526,0.99748774796143,0.9973060054965198,0.9967068291982978,0.9960588480641418,0.9957406604757447,0.995863811562958,0.9955375650325602,0.9946959467434322,0.9941019495382946,0.9954632964327602,0.9952032852970442,0.9958832545038958,0.999322137368481,1.0002880275257453,1.0033032255841707,1.003680273147249,1.0033893752512246,1.0033272367155994,1.003508938723722,1.0020451381510223,1.0008198245584543,0.9981681564117263,0.9971452119890388,0.9989536492204595,0.997482923079497,0.9954175984089533,0.9944592513476754,0.994027994629862,0.9942571172337362,0.994768311019344,0.9953421767028926,0.9953483924544312,0.9939517774182756,0.994298928365661,0.9964040822343743,0.9954829101266934,0.9950309080299831,0.9957749264573332
5,1.0054432642127915,1.0051854408281566,1.0093577733149757,1.0128788805510953,1.0181335404258738,1.0195536700897851,1.0210207035603605,1.0201772261693263,1.017058615852515,1.0130088662843268,1.0094025372115003,1.0053088298002213,1.001836151656158,0.9994936359384148,0.9972510348022787,0.9951850758822917,0.9936821787469489,0.9937041289443558,0.9926511909733662,0.9910910820115542,0.9906136161556328,0.9911180399179917,0.991952794355344,0.992060292404853,0.9933251761173397,0.9951149287124338,0.9968047874213802,0.9988113721435081,1.0022514434476268,1.0084165061535173,1.0121110053589049,1.0131076989077252,1.0135051029415119,1.0106793217035936,1.009217102894982,1.0046316863172808,1.0003753970777716,0.9986111523233814,0.997338505894454,0.9954621589580589,0.9934033758549278,0.9923730857898441,0.9922466681228952,0.9908936634501951,0.9904118902078011,0.9908501583491404,0.9916975110727909,0.9937820159742249,0.9937266330825129,0.993856786420694,0.9973098973503728,0.9984583860628544,0.9992790434818563,1.0004552906292346,1.0038036470003762,1.0054386189991393,1.007485525093235,1.0060547720682178,1.0041055295570707,1.0035033352228506,1.0009403771717147,0.9980404098284962,0.9954473530047968,0.9946679591463095,0.9948183340321227,0.9918777940084779,0.991625396681917,0.9928126544192452,0.9906429489151017,0.9911558490857204,0.9938935215370278,0.9930882759413234,0.9921383678859437,0.9927830080879672
6,1.0064300181476626,1.0066233024090496,1.0121820961221213,1.0149082998947105,1.0206636648508347,1.0221691471514236,1.0229139679252441,1.0204566652051115,1.0171475928611535,1.0127772406784745,1.0090480682643383,1.0050494838323962,1.000108250634094,0.9972453957047382,0.9954377686061748,0.9924188083333161,0.9921967615037095,0.9930384848320436,0.9926289572284813,0.9916163177483602,0.9913434841124901,0.9920485268373054,0.9936653232666178,0.9950839985220518,0.997031486682282,1.0000906410723334,1.0027425022186138,1.007936922885006,1.009607243994253,1.0116589950564348,1.010707596335803,1.0093749635839766,1.0082420222494215,1.0051707136125607,1.0016320919544937,0.9996116767686105,0.9965408608628706,0.9945404162044696,0.9950407042567065,0.9940925985413342,0.9928992919684823,0.9922261730324083,0.9922448528772605,0.9913601030690252,0.9910001830788082,0.9917071009464905,0.9928477693472313,0.9943773846203368,0.9944431876343474,0.9946593617327978,0.9983036106711598,0.9999799381251978,1.0008909806434585,1.0011550017830628,1.0048915390248958,1.0068586209792263,1.0063903717344593,1.004126787492663,1.0019369573579533,1.002007619737547,1.0004878017730714,0.9958900194030005,0.9940570092068879,0.9929798189497158,0.9929132853470057,0.9905246816446218,0.990321301290724,0.99258960164447,0.9902209587098447,0.9907002646221339,0.9935027029546876,0.9929280595719184,0.9928373444425244,0.9945172536315043
7,1.0124603435941792,1.0111088556837236,1.0120676979811252,1.0131925352501296,1.0134435163332458,1.0118240049093405,1.0109441319482124,1.009376848492027,1.006382970881684,1.0033841932975074,1.0009439329075585,0.9994362329163654,0.9977863157699969,0.9973256333793882,0.9963397304989658,0.9960270249658457,0.9971470152662022,0.9974129348428686,0.9969110605645973,0.9960158720296302,0.9957967306120302,0.9965025818107215,0.9974630995530246,0.9976215406992758,0.9998336676383363,1.0026335837214404,1.0037475902905382,1.0030995370713336,1.005424170477601,1.0103067112504294,1.0106223571797974,1.0111374949539973,1.0055840511482537,1.0021034804578868,1.0007728633348423,1.0008833310696887,0.9986064538841185,0.9975742556911029,0.9958526864891227,0.995659342836483,0.9963078133974949,0.995767655744654,0.9950163652857923,0.9944903661007347,0.9941813879498184,0.9947919334250747,0.9951937238869946,0.9968010327011234,0.9978535619190033,0.9980443021174354,0.9996618705640923,0.9994550383785802,0.9989269798091753,0.9989379331163275,1.0002258794543422,1.0003603325991537,1.0000511301516677,0.9987728354276492,0.9982383981185925,0.9990001498957713,0.9979281283468135,0.9966957408644911,0.9954970098033987,0.9947504767296784,0.9956393131773178,0.9945864178727585,0.9944356836116923,0.9952163681826892,0.9939574588404836,0.9946895818677832,0.9974550501488034,0.9952671810331647,0.9948910705052776,0.9961554472895446
8,1.0067290321048794,1.007248135343633,1.0127058444060135,1.0154886912505119,1.0214259563798413,1.0244738268462323,1.0253746643505377,1.023188493007818,1.0179159362479449,1.0128197190894248,1.006869059193676,1.0028927827664655,0.999569858447011,0.9970912845252353,0.9942096921006315,0.992530536044943,0.9923084642170353,0.9931502823076014,0.9927407085989254,0.9917279551146249,0.9914550907628135,0.9921602128621929,0.9937771913124059,0.9951960262840186,0.9971437336948251,1.0002032324881833,1.002855392184204,1.0080503976447672,1.0097209068007882,1.0117728888515898,1.0108213830213377,1.0094886002401018,1.008355531357639,1.0052838769491312,1.0017448569087515,0.9993116686169918,0.9973530764163518,0.9950775072988668,0.993184953405079,0.992925350870862,0.9918726106956054,0.9913360883782615,0.9912763904775609,0.9910511579952088,0.990906951393924,0.9915371754764234,0.9919814734151186,0.9930615623941772,0.9946091492241741,0.9947924992160776,0.99749205201439,0.9993934178723769,1.0006566732767046,1.0012514357421272,1.005699938548513,1.0074804127523713,1.0077686627687636,1.005690284128795,1.0036722096942605,1.0034686088819875,1.0001999995542346,0.9958583024062564,0.9936819979427287,0.9925148460296466,0.992566225734362,0.9907254098847675,0.9904570664129058,0.9915174399408185,0.9901041511541139,0.9902952366409629,0.9924423392968682,0.9923699589038871,0.9924319514970003,0.9934935199407261
9,1.0109903310377488,1.011743520338987,1.0184557502338492,1.0261437650359901,1.0288295594906511,1.0294418676317074,1.025928561707744,1.0222614706280522,1.0168679871874633,1.0110921484849111,1.003204732636792,1.0004106336859193,0.9957309354194805,0.9931117953474059,0.9901167164175304,0.9886228825893225,0.98792009497213,0.9879863627815555,0.9889600715077368,0.9878879979864581,0.9882314875646824,0.9899598955438766,0.9915622337182591,0.995523559473366,0.9987862500673991,1.0047973405302142,1.0125246434178474,1.0180902172079291,1.0234521296927117,1.0228296076447156,1.0195119883627612,1.0165420450113603,1.0105724809232275,1.0057558623863512,1.0023876286842255,0.9964121511822603,0.9931700263813559,0.9914140996454909,0.9899690032648425,0.9883469579515637,0.9880669699383404,0.9869356217985885,0.9866025774089254,0.9873677240776425,0.9854946383255114,0.9863994261718954,0.9900311633658462,0.9931402864124512,0.9979439894362921,1.0002515105377667,1.0066020191036653,1.0089066754169949,1.009042779800691,1.0101332928671527,1.012121977247776,1.0071216984796694,1.0061374462737607,1.0025014176752984,0.9977268332541438,0.9974986145373166,0.9933500878489852,0.9901477275317604,0.9882633258949461,0.9878358945278232,0.9879149811503464,0.985698539015777,0.9867682977001542,0.9885980308294435,0.9864651607618423,0.9875018429669076,0.9920230304562202,0.9912585605825739,0.9921464441655645,0.9964546206620554
10,1.0158213882844846,1.0163194768870227,1.019548900347304,1.02568943078585,1.0277368939345999,1.0268134992822056,1.022667867965802,1.0171371601891608,1.0104794561615646,1.007725816929827,1.0034347203275094,1.0005766887456529,0.9977990221345929,0.996361491230045,0.995266926715578,0.9939609329135555,0.9937278430548799,0.9942929748352352,0.993449741850354,0.9928009217580667,0.9933595588756567,0.9938938728026497,0.994808335334209,0.9971471812951975,0.9985067726005117,1.0008691501407245,1.0030209437516997,1.0090588030021972,1.0111932726913557,1.0117692777808498,1.0091906431353124,1.0028101966034426,1.0026063193864752,1.0009188374548907,0.9989555021810769,0.9972741641054874,0.9950094218972678,0.9939280673949551,0.993445970913,0.9928545855951212,0.9930998826201678,0.9924971053407343,0.9914332682368238,0.9918291316982539,0.9930610140621895,0.9921528570088161,0.9935067870029581,0.9953654593137823,0.9977280862776644,0.9979470605809133,1.0023218090433204,1.0035213877620077,1.0091191928588064,1.0082846439624982,1.0083695240936899,1.0015811748995531,0.9998375999052583,0.9970973721888997,0.9968187421143782,0.9985843452010456,0.9963484542365565,0.9941453125833241,0.9923491750501724,0.9908442820432221,0.9913136312425034,0.9904902484155822,0.9902977174007679,0.9894828709322903,0.9889190495691464,0.9907599124896063,0.9933491455372929,0.992045915491185,0.9911022126705401,0.9921635968906755
